"#","carat","cut","color","clarity","depth","table","price","x","y","z"
"93",0.7,"Ideal","G","VS2",61.6,56,2757,5.7,5.67,3.5
"94",0.71,"Very Good","E","VS2",62.4,57,2759,5.68,5.73,3.56
"95",0.78,"Very Good","G","SI2",63.8,56,2759,5.81,5.85,3.72
"96",0.7,"Good","E","VS2",57.5,58,2759,5.85,5.9,3.38
"97",0.7,"Good","F","VS1",59.4,62,2759,5.71,5.76,3.4
"98",0.96,"Fair","F","SI2",66.3,62,2759,6.27,5.95,4.07
"99",0.73,"Very Good","E","SI1",61.6,59,2760,5.77,5.78,3.56
"100",0.8,"Premium","H","SI1",61.5,58,2760,5.97,5.93,3.66
"101",0.75,"Very Good","D","SI1",63.2,56,2760,5.8,5.75,3.65
"102",0.75,"Premium","E","SI1",59.9,54,2760,6,5.96,3.58
"103",0.74,"Ideal","G","SI1",61.6,55,2760,5.8,5.85,3.59
"104",0.75,"Premium","G","VS2",61.7,58,2760,5.85,5.79,3.59
"105",0.8,"Ideal","I","VS1",62.9,56,2760,5.94,5.87,3.72
"106",0.75,"Ideal","G","SI1",62.2,55,2760,5.87,5.8,3.63
"107",0.8,"Premium","G","SI1",63,59,2760,5.9,5.81,3.69
"108",0.74,"Ideal","I","VVS2",62.3,55,2761,5.77,5.81,3.61
"109",0.81,"Ideal","F","SI2",58.8,57,2761,6.14,6.11,3.6
"110",0.59,"Ideal","E","VVS2",62,55,2761,5.38,5.43,3.35
"111",0.8,"Ideal","F","SI2",61.4,57,2761,5.96,6,3.67
"112",0.74,"Ideal","E","SI2",62.2,56,2761,5.8,5.84,3.62
"113",0.9,"Premium","I","VS2",63,58,2761,6.16,6.12,3.87
"114",0.74,"Very Good","G","SI1",62.2,59,2762,5.73,5.82,3.59
"115",0.73,"Ideal","F","VS2",62.6,56,2762,5.77,5.74,3.6
"116",0.73,"Ideal","F","VS2",62.7,53,2762,5.8,5.75,3.62
"117",0.8,"Premium","F","SI2",61.7,58,2762,5.98,5.94,3.68
"118",0.71,"Ideal","G","VS2",62.4,54,2762,5.72,5.76,3.58
"119",0.7,"Ideal","E","VS2",60.7,58,2762,5.73,5.76,3.49
"120",0.8,"Ideal","F","SI2",59.9,59,2762,6.01,6.07,3.62
"121",0.71,"Ideal","D","SI2",62.3,56,2762,5.73,5.69,3.56
"122",0.74,"Ideal","E","SI1",62.3,54,2762,5.8,5.83,3.62
"123",0.7,"Very Good","F","VS2",61.7,63,2762,5.64,5.61,3.47
"124",0.7,"Fair","F","VS2",64.5,57,2762,5.57,5.53,3.58
"125",0.7,"Fair","F","VS2",65.3,55,2762,5.63,5.58,3.66
"126",0.7,"Premium","F","VS2",61.6,60,2762,5.65,5.59,3.46
"127",0.91,"Premium","H","SI1",61.4,56,2763,6.09,5.97,3.7
"128",0.61,"Very Good","D","VVS2",59.6,57,2763,5.56,5.58,3.32
"129",0.91,"Fair","H","SI2",64.4,57,2763,6.11,6.09,3.93
"130",0.91,"Fair","H","SI2",65.7,60,2763,6.03,5.99,3.95
"131",0.77,"Ideal","H","VS2",62,56,2763,5.89,5.86,3.64
"132",0.71,"Very Good","D","SI1",63.6,58,2764,5.64,5.68,3.6
"133",0.71,"Ideal","D","SI1",61.9,59,2764,5.69,5.72,3.53
"134",0.7,"Very Good","E","VS2",62.6,60,2765,5.62,5.65,3.53
"135",0.77,"Very Good","H","VS1",61.3,60,2765,5.88,5.9,3.61
"136",0.63,"Premium","E","VVS1",60.9,60,2765,5.52,5.55,3.37
"137",0.71,"Very Good","F","VS1",60.1,62,2765,5.74,5.77,3.46
"138",0.71,"Premium","F","VS1",61.8,59,2765,5.69,5.73,3.53
"139",0.76,"Ideal","H","SI1",61.2,57,2765,5.88,5.91,3.61
"140",0.64,"Ideal","G","VVS1",61.9,56,2766,5.53,5.56,3.43
"141",0.71,"Premium","G","VS2",60.9,57,2766,5.78,5.75,3.51
"142",0.71,"Premium","G","VS2",59.8,56,2766,5.89,5.81,3.5
"143",0.7,"Very Good","D","VS2",61.8,55,2767,5.68,5.72,3.52
"144",0.7,"Very Good","F","VS1",60,57,2767,5.8,5.87,3.5
"145",0.71,"Ideal","D","SI2",61.6,55,2767,5.74,5.76,3.54
"146",0.7,"Good","H","VVS2",62.1,64,2767,5.62,5.65,3.5
"147",0.71,"Very Good","G","VS1",63.3,59,2768,5.52,5.61,3.52
"148",0.73,"Very Good","D","SI1",60.2,56,2768,5.83,5.87,3.52
"149",0.7,"Very Good","D","SI1",61.1,58,2768,5.66,5.73,3.48
"150",0.7,"Ideal","E","SI1",60.9,57,2768,5.73,5.76,3.5
"151",0.71,"Premium","D","SI2",61.7,59,2768,5.71,5.67,3.51
"152",0.74,"Ideal","I","SI1",61.3,56,2769,5.82,5.86,3.57
"153",0.71,"Premium","D","VS2",62.5,60,2770,5.65,5.61,3.52
"154",0.73,"Premium","G","VS2",61.4,59,2770,5.83,5.76,3.56
"155",0.76,"Very Good","F","SI1",62.9,57,2770,5.79,5.81,3.65
"156",0.76,"Ideal","D","SI2",62.4,57,2770,5.78,5.83,3.62
"157",0.71,"Ideal","F","SI1",60.7,56,2770,5.77,5.8,3.51
"158",0.73,"Premium","G","VS2",60.7,58,2770,5.87,5.82,3.55
"159",0.73,"Premium","G","VS1",61.5,58,2770,5.79,5.75,3.55
"160",0.73,"Ideal","D","SI2",59.9,57,2770,5.92,5.89,3.54
"161",0.73,"Premium","G","VS2",59.2,59,2770,5.92,5.87,3.49
"162",0.72,"Very Good","H","VVS2",60.3,56,2771,5.81,5.83,3.51
"163",0.73,"Very Good","F","SI1",61.7,60,2771,5.79,5.82,3.58
"164",0.71,"Ideal","G","VS2",61.9,57,2771,5.73,5.77,3.56
"165",0.79,"Ideal","F","SI2",61.9,55,2771,5.97,5.92,3.68
"166",0.73,"Very Good","H","VVS1",60.4,59,2772,5.83,5.89,3.54
"167",0.8,"Very Good","F","SI2",61,57,2772,6.01,6.03,3.67
"168",0.58,"Ideal","G","VVS1",61.5,55,2772,5.39,5.44,3.33
"169",0.58,"Ideal","F","VVS1",61.7,56,2772,5.33,5.37,3.3
"170",0.71,"Good","E","VS2",59.2,61,2772,5.8,5.88,3.46
"171",0.75,"Ideal","D","SI2",61.3,56,2773,5.85,5.89,3.6
"172",0.7,"Premium","D","VS2",58,62,2773,5.87,5.78,3.38
"173",1.17,"Very Good","J","I1",60.2,61,2774,6.83,6.9,4.13
"174",0.6,"Ideal","E","VS1",61.7,55,2774,5.41,5.44,3.35
"175",0.7,"Ideal","E","SI1",62.7,55,2774,5.68,5.74,3.58
"176",0.83,"Good","I","VS2",64.6,54,2774,5.85,5.88,3.79
"177",0.74,"Very Good","F","VS2",61.3,61,2775,5.8,5.84,3.57
"178",0.72,"Very Good","G","VS2",63.7,56.4,2776,5.62,5.69,3.61
"179",0.71,"Premium","E","VS2",62.7,58,2776,5.74,5.68,3.58
"180",0.71,"Ideal","E","VS2",62.2,57,2776,5.79,5.62,3.55
"181",0.54,"Ideal","E","VVS2",61.6,56,2776,5.25,5.27,3.24
"182",0.54,"Ideal","E","VVS2",61.5,57,2776,5.24,5.26,3.23
"183",0.72,"Ideal","G","SI1",61.8,56,2776,5.72,5.75,3.55
"184",0.72,"Ideal","G","SI1",60.7,56,2776,5.79,5.82,3.53
"185",0.72,"Good","G","VS2",59.7,60.5,2776,5.8,5.84,3.47
"186",0.71,"Ideal","G","SI1",60.5,56,2776,5.8,5.76,3.5
"187",0.7,"Very Good","D","VS1",62.7,58,2777,5.66,5.73,3.57
"188",0.71,"Premium","F","VS2",62.1,58,2777,5.67,5.7,3.53
"189",0.71,"Very Good","F","VS2",62.8,57,2777,5.64,5.69,3.56
"190",0.71,"Good","F","VS2",63.8,58,2777,5.61,5.64,3.59
"191",0.71,"Good","F","VS2",57.8,60,2777,5.87,5.9,3.4
"192",0.7,"Ideal","E","VS2",62.1,55,2777,5.7,5.67,3.53
"193",0.7,"Premium","E","VS2",61.1,60,2777,5.71,5.64,3.47
"194",0.7,"Premium","E","SI1",60,59,2777,5.79,5.75,3.46
"195",0.7,"Premium","E","SI1",61.2,57,2777,5.73,5.68,3.49
"196",0.7,"Premium","E","SI1",62.7,59,2777,5.67,5.63,3.54
"197",0.7,"Premium","E","SI1",61,57,2777,5.73,5.68,3.48
"198",0.7,"Premium","E","SI1",61,58,2777,5.78,5.72,3.51
"199",0.7,"Ideal","E","SI1",61.4,57,2777,5.76,5.7,3.52
"200",0.72,"Premium","F","SI1",61.8,61,2777,5.82,5.71,3.56
"201",0.7,"Very Good","E","SI1",59.9,63,2777,5.76,5.7,3.43
"202",0.7,"Premium","E","SI1",61.3,58,2777,5.71,5.68,3.49
"203",0.7,"Premium","E","SI1",60.5,58,2777,5.77,5.74,3.48
"204",0.7,"Good","E","VS2",64.1,59,2777,5.64,5.59,3.6
"205",0.98,"Fair","H","SI2",67.9,60,2777,6.05,5.97,4.08
"206",0.78,"Premium","F","SI1",62.4,58,2777,5.83,5.8,3.63
"207",0.7,"Very Good","E","SI1",63.2,60,2777,5.6,5.51,3.51
"208",0.52,"Ideal","F","VVS1",61.3,55,2778,5.19,5.22,3.19
"209",0.73,"Very Good","H","VS2",60.8,56,2779,5.82,5.84,3.55
"210",0.74,"Ideal","E","SI1",61.7,56,2779,5.84,5.8,3.59
"211",0.7,"Very Good","F","VS2",63.6,57,2780,5.61,5.65,3.58
"212",0.77,"Premium","G","VS2",61.2,58,2780,5.9,5.93,3.62
"213",0.71,"Ideal","F","VS2",62.1,54,2780,5.68,5.72,3.54
"214",0.74,"Ideal","G","VS1",61.5,55,2780,5.81,5.86,3.59
"215",0.7,"Ideal","G","VS1",61.4,59,2780,5.64,5.73,3.49
"216",1.01,"Premium","F","I1",61.8,60,2781,6.39,6.36,3.94
"217",0.77,"Ideal","H","SI1",62.2,56,2781,5.83,5.88,3.64
"218",0.78,"Ideal","H","SI1",61.2,56,2781,5.92,5.99,3.64
"219",0.72,"Very Good","H","VS1",60.6,63,2782,5.83,5.76,3.51
"220",0.53,"Very Good","D","VVS2",57.5,64,2782,5.34,5.37,3.08
"221",0.76,"Ideal","G","VS2",61.3,56,2782,5.9,5.94,3.63
"222",0.7,"Good","E","VS1",57.2,62,2782,5.81,5.77,3.31
"223",0.7,"Premium","E","VS1",62.9,60,2782,5.62,5.54,3.51
"224",0.75,"Very Good","D","SI2",63.1,58,2782,5.78,5.73,3.63
"225",0.72,"Ideal","D","SI1",60.8,57,2782,5.76,5.75,3.5
"226",0.72,"Premium","D","SI1",62.7,59,2782,5.73,5.69,3.58
"227",0.7,"Premium","D","SI1",62.8,60,2782,5.68,5.66,3.56
"228",0.84,"Fair","G","SI1",55.1,67,2782,6.39,6.2,3.47
"229",0.75,"Premium","F","SI1",61.4,59,2782,5.88,5.85,3.6
"230",0.52,"Ideal","F","IF",62.2,55,2783,5.14,5.18,3.21
"231",0.72,"Very Good","F","VS2",63,54,2784,5.69,5.73,3.6
"232",0.79,"Very Good","H","VS1",63.7,56,2784,5.85,5.92,3.75
"233",0.72,"Very Good","F","VS2",63.6,58,2787,5.66,5.69,3.61
"234",0.51,"Ideal","F","VVS1",62,57,2787,5.11,5.15,3.18
"235",0.64,"Ideal","D","VS1",61.5,56,2787,5.54,5.55,3.41
"236",0.7,"Very Good","H","VVS1",60.5,60,2788,5.74,5.77,3.48
"237",0.83,"Very Good","I","VS1",61.1,60,2788,6.07,6.1,3.72
"238",0.76,"Ideal","I","VVS2",61.8,56,2788,5.85,5.87,3.62
"239",0.71,"Good","D","VS2",63.3,56,2788,5.64,5.68,3.58
"240",0.77,"Good","G","VS1",59.4,64,2788,5.97,5.92,3.53
"241",0.71,"Ideal","F","SI1",62.5,55,2788,5.71,5.65,3.55
"242",1.01,"Fair","E","I1",64.5,58,2788,6.29,6.21,4.03
"243",1.01,"Premium","H","SI2",62.7,59,2788,6.31,6.22,3.93
"244",0.77,"Good","F","SI1",64.2,52,2789,5.81,5.77,3.72
"245",0.76,"Good","E","SI1",63.7,54,2789,5.76,5.85,3.7
"246",0.76,"Premium","E","SI1",60.4,58,2789,5.92,5.94,3.58
"247",0.76,"Premium","E","SI1",61.8,58,2789,5.82,5.86,3.61
"248",1.05,"Very Good","J","SI2",63.2,56,2789,6.49,6.45,4.09
"249",0.81,"Ideal","G","SI2",61.6,56,2789,5.97,6.01,3.69
"250",0.7,"Ideal","E","SI1",61.6,56,2789,5.72,5.75,3.53
"251",0.55,"Ideal","G","IF",60.9,57,2789,5.28,5.3,3.22
"252",0.81,"Good","G","SI2",61,61,2789,5.94,5.99,3.64
"253",0.63,"Premium","E","VVS2",62.1,57,2789,5.48,5.41,3.38
"254",0.63,"Premium","E","VVS1",60.9,60,2789,5.55,5.52,3.37
"255",0.77,"Premium","H","VS1",61.3,60,2789,5.9,5.88,3.61
"256",1.05,"Fair","J","SI2",65.8,59,2789,6.41,6.27,4.18
"257",0.64,"Ideal","G","IF",61.3,56,2790,5.54,5.58,3.41
"258",0.76,"Premium","I","VVS1",58.8,59,2790,6,5.94,3.51
"259",0.83,"Ideal","F","SI2",62.3,55,2790,6.02,6.05,3.76
"260",0.71,"Premium","F","VS1",60.1,62,2790,5.77,5.74,3.46
"261",0.71,"Premium","F","VS1",61.8,59,2790,5.73,5.69,3.53
"262",0.87,"Very Good","I","SI1",63.6,55.8,2791,6.07,6.1,3.87
"263",0.73,"Ideal","E","SI1",62.2,56,2791,5.74,5.78,3.58
"264",0.71,"Premium","E","SI1",59.2,59,2792,5.83,5.86,3.46
"265",0.71,"Premium","E","SI1",61.8,59,2792,5.7,5.75,3.54
"266",0.71,"Ideal","E","SI1",61.3,55,2792,5.72,5.77,3.52
"267",0.7,"Premium","F","VS1",62.1,60,2792,5.71,5.65,3.53
"268",0.7,"Premium","F","VS1",60.7,60,2792,5.78,5.75,3.5
"269",0.76,"Premium","H","VVS2",59.6,57,2792,5.91,5.86,3.51
"270",0.7,"Ideal","F","VS1",62.2,56,2792,5.73,5.68,3.55
"271",0.79,"Very Good","G","SI1",60.6,57,2793,5.98,6.06,3.65
"272",0.7,"Very Good","E","VS2",62.9,57,2793,5.66,5.69,3.57
"273",0.7,"Good","E","VS2",64.1,55,2793,5.6,5.66,3.61
"274",0.76,"Ideal","I","VS2",61.3,56,2793,5.87,5.91,3.61
"275",0.73,"Ideal","H","VS2",62.7,55,2793,5.72,5.76,3.6
"276",0.79,"Very Good","E","SI1",63.2,56,2794,5.91,5.86,3.72
"277",0.71,"Very Good","E","VS2",60.7,56,2795,5.81,5.82,3.53
"278",0.81,"Premium","I","VVS2",61.9,60,2795,5.91,5.86,3.64
"279",0.81,"Ideal","F","SI2",62.6,55,2795,5.92,5.96,3.72
"280",0.72,"Good","F","VS1",60.7,60,2795,5.74,5.72,3.48
"281",0.72,"Premium","D","SI2",62,60,2795,5.73,5.69,3.54
"282",0.72,"Premium","I","IF",63,57,2795,5.72,5.7,3.6
"283",0.81,"Premium","H","VS2",58,59,2795,6.17,6.13,3.57
"284",0.72,"Premium","G","VS2",62.9,57,2795,5.73,5.65,3.58
"285",1,"Premium","I","SI2",58.2,60,2795,6.61,6.55,3.83
"286",0.73,"Good","E","SI1",63.2,58,2796,5.7,5.76,3.62
"287",0.81,"Very Good","H","SI2",61.3,59,2797,5.94,6.01,3.66
"288",0.81,"Very Good","E","SI1",60.3,60,2797,6.07,6.1,3.67
"289",0.71,"Premium","D","SI1",62.7,60,2797,5.67,5.71,3.57
"290",0.71,"Premium","D","SI1",61.3,58,2797,5.73,5.75,3.52
"291",0.71,"Premium","D","SI1",61.6,60,2797,5.74,5.69,3.52
"292",0.57,"Ideal","F","VVS2",61.9,55,2797,5.34,5.35,3.31
"293",0.51,"Ideal","D","VVS1",61.7,56,2797,5.12,5.16,3.17
"294",0.72,"Ideal","G","VS2",61.9,58,2797,5.72,5.75,3.55
"295",0.74,"Ideal","H","VS1",61.8,58,2797,5.77,5.81,3.58
"296",0.74,"Ideal","H","VS1",61.6,56,2797,5.81,5.82,3.58
"297",0.7,"Fair","G","VVS1",58.8,66,2797,5.81,5.9,3.44
"298",0.8,"Premium","F","SI2",61,57,2797,6.03,6.01,3.67
"299",1.01,"Fair","E","SI2",67.4,60,2797,6.19,6.05,4.13
"300",0.8,"Very Good","H","VS2",63.4,60,2797,5.92,5.82,3.72
"301",0.77,"Ideal","I","VS1",61.5,59,2798,5.87,5.91,3.62
"302",0.83,"Very Good","E","SI2",58,62,2799,6.19,6.25,3.61
"303",0.82,"Ideal","F","SI2",62.4,54,2799,5.97,6.02,3.74
"304",0.78,"Ideal","D","SI1",61.9,57,2799,5.91,5.86,3.64
"305",0.6,"Very Good","G","IF",61.6,56,2800,5.43,5.46,3.35
"306",0.9,"Good","I","SI2",62.2,59,2800,6.07,6.11,3.79
"307",0.7,"Premium","E","VS1",62.2,58,2800,5.6,5.66,3.5
"308",0.9,"Very Good","I","SI2",61.3,56,2800,6.17,6.23,3.8
"309",0.83,"Ideal","G","SI1",62.3,57,2800,5.99,6.08,3.76
"310",0.83,"Ideal","G","SI1",61.8,57,2800,6.03,6.07,3.74
"311",0.83,"Very Good","H","SI1",62.5,59,2800,5.95,6.02,3.74
"312",0.74,"Premium","G","VS1",62.9,60,2800,5.74,5.68,3.59
"313",0.79,"Ideal","I","VS1",61.8,59,2800,5.92,5.95,3.67
"314",0.61,"Ideal","G","IF",62.3,56,2800,5.43,5.45,3.39
"315",0.76,"Fair","G","VS1",59,70,2800,5.89,5.8,3.46
"316",0.96,"Ideal","F","I1",60.7,55,2801,6.37,6.41,3.88
"317",0.73,"Ideal","F","VS2",62.5,55,2801,5.8,5.76,3.61
"318",0.73,"Premium","F","VS2",62.7,58,2801,5.76,5.7,3.59
"319",0.75,"Ideal","H","SI1",60.4,57,2801,5.93,5.96,3.59
"320",0.71,"Premium","F","VS2",62.1,58,2801,5.7,5.67,3.53
"321",0.71,"Good","F","VS2",57.8,60,2801,5.9,5.87,3.4
"322",0.71,"Good","F","VS2",63.8,58,2801,5.64,5.61,3.59
"323",0.71,"Premium","F","VS2",62.8,57,2801,5.69,5.64,3.56
"324",1.04,"Premium","G","I1",62.2,58,2801,6.46,6.41,4
"325",1,"Premium","J","SI2",62.3,58,2801,6.45,6.34,3.98
"326",0.87,"Very Good","G","SI2",59.9,58,2802,6.19,6.23,3.72
"327",0.53,"Ideal","F","IF",61.9,54,2802,5.22,5.25,3.24
"328",0.72,"Premium","E","VS2",63,55,2802,5.79,5.61,3.59
"329",0.72,"Premium","F","VS1",62.4,58,2802,5.83,5.7,3.6
"330",0.7,"Very Good","F","VS2",62.9,58,2803,5.63,5.65,3.55
"331",0.74,"Very Good","E","SI1",63.5,56,2803,5.74,5.79,3.66
"332",0.71,"Ideal","G","VS2",61.3,56,2803,5.75,5.71,3.51
"333",0.73,"Ideal","E","SI1",60.6,54,2803,5.84,5.89,3.55
"334",0.7,"Good","G","VS1",65.1,58,2803,5.56,5.59,3.63
"335",0.71,"Premium","F","VS2",62.6,58,2803,5.7,5.67,3.56
"336",0.71,"Premium","F","VS2",58,62,2803,5.85,5.81,3.38
"337",0.71,"Premium","G","VS1",62.4,61,2803,5.7,5.65,3.54
"338",0.77,"Premium","G","VS2",61.3,57,2803,5.93,5.88,3.62
"339",0.71,"Premium","G","VS2",59.9,60,2803,5.81,5.77,3.47
"340",0.78,"Premium","G","VS2",60.8,58,2803,6.03,5.95,3.64
"341",0.71,"Very Good","G","VS1",63.5,55,2803,5.66,5.64,3.59
"342",0.91,"Ideal","D","SI2",62.2,57,2803,6.21,6.15,3.85
"343",0.71,"Very Good","E","VS2",63.8,58,2804,5.62,5.66,3.6
"344",0.71,"Very Good","E","VS2",64,57,2804,5.66,5.68,3.63
"345",0.8,"Very Good","E","SI2",62.5,56,2804,5.88,5.96,3.7
"346",0.7,"Very Good","D","SI1",62.3,58,2804,5.69,5.73,3.56
"347",0.72,"Ideal","F","VS1",61.7,57,2804,5.74,5.77,3.55
"348",0.72,"Very Good","F","VS1",62.2,58,2804,5.75,5.7,3.56
"349",0.82,"Ideal","H","VS2",61.5,56,2804,6.01,6.08,3.72
"350",0.7,"Ideal","D","SI1",61,59,2804,5.68,5.7,3.47
"351",0.72,"Ideal","D","SI1",62.2,56,2804,5.74,5.77,3.58
"352",0.72,"Ideal","D","SI1",61.5,54,2804,5.77,5.8,3.56
"353",0.9,"Fair","I","SI1",67.3,59,2804,5.93,5.84,3.96
"354",0.74,"Premium","F","VS2",61.7,58,2805,5.85,5.78,3.59
"355",0.74,"Premium","F","VS2",61.9,56,2805,5.8,5.77,3.58
"356",0.73,"Ideal","E","SI2",61.8,58,2805,5.77,5.81,3.58
